RegionName,BuildingName,Address1,City,State,ZIP,RoomName,RoomComments,Contact,Telephone,Capacity,SeatingStyleName,VideoConferencing,ProjectionScreen,SpeakerSystem,Projector,TeleDataOutlet,WhiteBoard,VCRorDVD,TenantUse,StateAgencyUse,PublicUse
Region IV,1500 Capitol Avenue,1500 Capitol Avenue,Sacramento,CA,95814,Auditorium,NULL,Reservation Coordinator (EECResourceRequests@dgs.ca.gov),916-445-3481,299,Auditorium,Y,Y,Y,Y,Y,N,Y,Y,Y,N
Region IV,1616 Capitol Avenue,1616 Capitol Avenue,Sacramento,CA,95814,74.154 (Common),NULL,Reservation Coordinator (EECResourceRequests@dgs.ca.gov),916-445-3481,15,Tables and Chairs,N,Y,Y,N,Y,Y,N,Y,Y,N
Region IV,1616 Capitol Avenue,1616 Capitol Avenue,Sacramento,CA,95814,74.155 (Common),NULL,Reservation Coordinator (EECResourceRequests@dgs.ca.gov),916-445-3481,20,Tables and Chairs,N,Y,Y,N,Y,Y,N,Y,Y,N
Region IV,450 N Street,450 N Street,Sacramento,CA,95814,105 (Common),NULL,Reception  ,916-445-6464,8,Tables and Chairs,N,N,N,N,Y,Y,N,Y,N,N
Region IV,450 N Street,450 N Street,Sacramento,CA,95814,106 (Common),NULL,Reception  ,916-445-6464,8,Tables and Chairs,N,N,N,N,Y,Y,N,Y,N,N
Region IV,450 N Street,450 N Street,Sacramento,CA,95814,107 (Common),NULL,Reception  ,916-445-6464,8,Tables and Chairs,N,N,N,N,Y,Y,N,Y,N,N
Region IV,450 N Street,450 N Street,Sacramento,CA,95814,108 (Common),NULL,Reception  ,916-445-6464,8,Tables and Chairs,N,N,N,N,Y,Y,N,Y,N,N
Region IV,450 N Street,450 N Street,Sacramento,CA,95814,110 (Common),NULL,Reception  ,916-445-6464,12,Tables and Chairs,N,N,N,N,Y,Y,N,Y,N,N
Region IV,450 N Street,450 N Street,Sacramento,CA,95814,111 (Common),NULL,Reception  ,916-445-6464,12,Tables and Chairs,N,N,N,N,Y,Y,N,Y,N,N
Region IV,450 N Street,450 N Street,Sacramento,CA,95814,112 (Common),NULL,Reception  ,916-445-6464,6,Tables and Chairs,N,N,N,N,Y,Y,N,Y,N,N
Region IV,450 N Street,450 N Street,Sacramento,CA,95814,114 (Common),NULL,Reception  ,916-445-6464,4,Tables and Chairs,N,N,N,N,Y,Y,N,Y,N,N
Region IV,450 N Street,450 N Street,Sacramento,CA,95814,117 (Common),NULL,Reception  ,916-445-6464,12,Tables and Chairs,N,N,N,N,Y,Y,N,Y,N,N
Region IV,450 N Street,450 N Street,Sacramento,CA,95814,118 (Common),NULL,Reception  ,916-445-6464,12,Tables and Chairs,N,N,N,N,Y,Y,N,Y,N,N
Region IV,450 N Street,450 N Street,Sacramento,CA,95814,122 (Common),NULL,Claudia  ,916-324-8261,25,Tables and Chairs,N,N,N,N,Y,Y,N,Y,N,N
Region IV,450 N Street,450 N Street,Sacramento,CA,95814,2317 (Executive),NULL,Claudia  ,916-324-8261,36,Tables and Chairs,Y,Y,Y,N,Y,Y,Y,Y,N,N
Region IV,450 N Street,450 N Street,Sacramento,CA,95814,Auditorium,NULL,Claudia  ,916-324-8261,100,Auditorium,N,Y,Y,N,Y,N,Y,Y,N,N
Region IV,Ziggurat,707 Third St.,West Sacramento,CA,95605,Auditorium,NULL,BSS  ,916-375-4990,195,Auditorium,Y,Y,Y,Y,Y,N,Y,N,Y,N
Region IV,Ziggurat,707 Third St.,West Sacramento,CA,95605,Executive Dining Room,NULL,BSS  ,916-375-4990,45,Tables and Chairs,N,N,N,N,Y,N,Y,N,Y,N
SF Bay Region,100 Paseo de San Antonio,100 Paseo de San Antonio,San Jose,CA,95113,Auditorium,NULL,Casey Valdez ,408-277-1761,76,Auditorium,N,Y,Y,Y,N,N,Y,Y,Y,N
SF Bay Region,455 Golden Gate Ave,455 Golden Gate Ave,San Francisco,CA,94102,Auditorium,NULL,Dave Glass ,415-865-7848,225,Auditorium,N,Y,Y,Y,Y,Y,Y,Y,Y,N
SF Bay Region,455 Golden Gate Ave,455 Golden Gate Ave,San Francisco,CA,94102,Benicia Rm A,NULL,Dave Glass ,415-865-7848,14,Tables and Chairs,N,Y,Y,Y,Y,Y,Y,Y,Y,N
SF Bay Region,455 Golden Gate Ave,455 Golden Gate Ave,San Francisco,CA,94102,Benicia Rm A/B/C,NULL,Dave Glass ,415-865-7848,30,Tables and Chairs,N,Y,Y,Y,Y,Y,Y,Y,Y,N
SF Bay Region,455 Golden Gate Ave,455 Golden Gate Ave,San Francisco,CA,94102,Benicia Rm B,NULL,Dave Glass ,415-865-7848,14,Tables and Chairs,N,Y,Y,Y,Y,Y,Y,Y,Y,N
SF Bay Region,455 Golden Gate Ave,455 Golden Gate Ave,San Francisco,CA,94102,Benicia Rm C,NULL,Dave Glass ,415-865-7848,14,Tables and Chairs,N,Y,Y,Y,Y,Y,Y,Y,Y,N
SF Bay Region,455 Golden Gate Ave,455 Golden Gate Ave,San Francisco,CA,94102,Monterey Rm,NULL,Dave Glass ,415-865-7848,16,Tables and Chairs,N,Y,Y,Y,Y,Y,Y,Y,Y,N
SF Bay Region,455 Golden Gate Ave,455 Golden Gate Ave,San Francisco,CA,94102,San Diego Rm A,NULL,Dave Glass ,415-865-7848,22,Tables and Chairs,N,Y,Y,Y,Y,Y,Y,Y,Y,N
SF Bay Region,455 Golden Gate Ave,455 Golden Gate Ave,San Francisco,CA,94102,San Diego Rm A/B/C,NULL,Dave Glass ,415-865-7848,60,Tables and Chairs,N,Y,Y,Y,Y,Y,Y,Y,Y,N
SF Bay Region,455 Golden Gate Ave,455 Golden Gate Ave,San Francisco,CA,94102,San Diego Rm B,NULL,Dave Glass ,415-865-7848,22,Tables and Chairs,N,Y,Y,Y,Y,Y,Y,Y,Y,N
SF Bay Region,455 Golden Gate Ave,455 Golden Gate Ave,San Francisco,CA,94102,San Diego Rm C,NULL,Dave Glass ,415-865-7848,22,Tables and Chairs,N,Y,Y,Y,Y,Y,Y,Y,Y,N
SF Bay Region,455 Golden Gate Ave,455 Golden Gate Ave,San Francisco,CA,94102,San Jose Rm,NULL,Dave Glass ,415-865-7848,20,Tables and Chairs,N,Y,Y,Y,Y,Y,Y,Y,Y,N
SF Bay Region,455 Golden Gate Ave,455 Golden Gate Ave,San Francisco,CA,94102,Santa Barbara Rm,NULL,Dave Glass ,415-865-7848,28,Tables and Chairs,N,Y,Y,Y,Y,Y,Y,Y,Y,N
SF Bay Region,455 Golden Gate Ave,455 Golden Gate Ave,San Francisco,CA,94102,Vallejo Rm,NULL,Dave Glass ,415-865-7848,20,Tables and Chairs,N,Y,Y,Y,Y,Y,Y,Y,Y,N
SF Bay Region,50 D St.,50 D St.,Santa Rosa,CA,95404,405,NULL,Pat Commins ,707-576-2424,40,Tables and Chairs,N,N,N,N,N,N,Y,Y,Y,N
SF Bay Region,50 D St.,50 D St.,Santa Rosa,CA,95404,410A/410B,NULL,Pat Commins ,707-576-2424,80,Tables and Chairs,N,Y,Y,N,N,Y,Y,Y,Y,N
SF Bay Region,Elihu M Harris,1515 Clay St.,Oakland,CA,94612,Auditorium,NULL,Towana Thomas ,510-622-2564,250,Auditorium,N,Y,Y,Y,N,N,Y,Y,Y,N
SF Bay Region,Elihu M Harris,1515 Clay St.,Oakland,CA,94612,Room 1,NULL,Towana Thomas ,510-622-2564,140,Tables and Chairs,N,Y,Y,Y,N,Y,Y,Y,Y,N
SF Bay Region,Elihu M Harris,1515 Clay St.,Oakland,CA,94612,Room 10,NULL,Towana Thomas ,510-622-2564,40,Tables and Chairs,N,Y,Y,Y,N,Y,Y,Y,Y,N
SF Bay Region,Elihu M Harris,1515 Clay St.,Oakland,CA,94612,Room 11,NULL,Towana Thomas ,510-622-2564,50,Tables and Chairs,N,Y,Y,Y,N,Y,Y,Y,Y,N
SF Bay Region,Elihu M Harris,1515 Clay St.,Oakland,CA,94612,Room 12,NULL,Towana Thomas ,510-622-2564,35,Tables and Chairs,N,Y,Y,Y,N,Y,Y,Y,Y,N
SF Bay Region,Elihu M Harris,1515 Clay St.,Oakland,CA,94612,Room 14,NULL,Towana Thomas ,510-622-2564,10,Tables and Chairs,N,N,N,N,N,N,Y,Y,Y,N
SF Bay Region,Elihu M Harris,1515 Clay St.,Oakland,CA,94612,Room 15,NULL,Towana Thomas ,510-622-2564,35,Tables and Chairs,N,Y,Y,Y,N,Y,Y,Y,Y,N
SF Bay Region,Elihu M Harris,1515 Clay St.,Oakland,CA,94612,"Room 2, 3 & 4",NULL,Towana Thomas ,510-622-2564,90,Tables and Chairs,N,Y,Y,Y,N,Y,Y,Y,Y,N
SF Bay Region,Elihu M Harris,1515 Clay St.,Oakland,CA,94612,Room 7,NULL,Towana Thomas ,510-622-2564,50,Hearing Room,N,Y,Y,Y,N,N,Y,Y,Y,N
SF Bay Region,Elihu M Harris,1515 Clay St.,Oakland,CA,94612,Room 8,NULL,Towana Thomas ,510-622-2564,12,Hearing Room,N,N,N,N,N,N,Y,Y,Y,N
SF Bay Region,Elihu M Harris,1515 Clay St.,Oakland,CA,94612,Room 9,NULL,Towana Thomas ,510-622-2564,30,Tables and Chairs,N,Y,Y,Y,N,Y,Y,Y,Y,N
Southern Region,1350 Front Street,1350 Front Street,San Diego,CA,92101,B-102,NULL,Front Street BSO ,619-525-4487,15,Tables and Chairs,N,N,N,N,N,N,N,Y,Y,N
Southern Region,1350 Front Street,1350 Front Street,San Diego,CA,92101,B-103,NULL,Front Street BSO ,619-525-4487,10,Tables and Chairs,N,N,N,N,N,N,N,Y,Y,N
Southern Region,1350 Front Street,1350 Front Street,San Diego,CA,92101,B-107,NULL,Front Street BSO ,619-525-4487,20,Tables and Chairs,N,N,N,N,N,N,N,Y,Y,N
Southern Region,1350 Front Street,1350 Front Street,San Diego,CA,92101,B-109,NULL,Front Street BSO ,619-525-4487,160,Auditorium,N,N,N,N,N,N,N,Y,Y,N
Southern Region,2550 Mariposa Mall,2550 Mariposa Mall,Fresno,CA,93721,1002,NULL,Anne Clancy ,559-445-5084,20,Tables and Chairs,N,N,N,N,Y,N,N,Y,Y,N
Southern Region,2550 Mariposa Mall,2550 Mariposa Mall,Fresno,CA,93721,1027,NULL,Anne Clancy ,559-445-5084,18,Tables and Chairs,N,N,N,N,Y,Y,N,Y,Y,N
Southern Region,2550 Mariposa Mall,2550 Mariposa Mall,Fresno,CA,93721,1036,NULL,Anne Clancy ,559-445-5084,110,Tables and Chairs,N,Y,Y,N,N,Y,N,Y,Y,N
Southern Region,2550 Mariposa Mall,2550 Mariposa Mall,Fresno,CA,93721,1038,NULL,Anne Clancy ,559-445-5084,12,Tables and Chairs,N,N,N,N,Y,Y,N,Y,Y,N
Southern Region,3374 E. Shields,3374 E. Shields,Fresno,CA,93726,10,NULL,Daisy Garcia ,559-445-5084,40,Tables and Chairs,N,N,N,Y,Y,N,Y,Y,N,N
Southern Region,4050 Taylor Street,4050 Taylor Street,San Diego,CA,92110,1-125A,NULL,Training  ,619-688-6611,62,Tables and Chairs,N,Y,N,N,N,N,N,Y,N,N
Southern Region,4050 Taylor Street,4050 Taylor Street,San Diego,CA,92110,1-125B,NULL,Training  ,619-688-6611,62,Tables and Chairs,N,Y,N,N,N,N,N,Y,N,N
