id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
64,Ananas,,94,104,1884,1978,0.0,0.95
65,Milchreis,,135,135,1899,1910,,
66,Grape fruit,,713,747,1895,1968,0.0,2540.0
67,Oranges,,1425,1481,1851,2012,0.0,25.0
68,Clam Fritters,,258,270,1880,1959,0.15,50.0
69,Filet v. Schildkrote m. Truffeln,,3,3,1900,1900,0.0,0.0
70,"Bouillon, en Tasse",,17,17,1897,1906,0.2,0.25
71,Spargel Suppe,,4,4,1899,1900,0.0,0.0
72,"Kraftsuppe, konigliche Art",,2,2,1900,1900,0.0,0.0
73,Rissoles a la Merrill,,4,4,1900,1900,0.0,0.0
75,S. Julien,,4,4,1900,1900,0.75,1.5
76,Chambertin,,238,250,1851,1977,0.0,250.0
77,St. Julien,,336,392,1851,1970,0.0,175.0
78,Vegetable,,108,116,1892,1987,0.0,1.75
80,Puree of split peas aux croutons,,11,11,1900,1917,0.05,0.35
81,Consomme in cup,,127,127,1896,1949,0.0,20.0
82,"Broiled shad, Maitre d'hotel",,27,27,1889,1937,0.3,0.9
83,Mashed potatoes,,2575,2662,1852,2012,0.0,15.0
84,Breaded veal cutlet with peas,,3,3,1900,1900,0.0,0.0
86,Hind-quarter of spring lamb with stuffed tomatoes,,3,3,1900,1900,0.0,0.0
87,Hot or cold ribs of beef,,1,1,1900,1900,,
88,Doucette salad,,7,7,1900,1910,0.0,0.0
89,New beets,,134,139,1865,1981,0.05,0.5
90,Salisbury steak au cresson,,1,1,1900,1900,0.0,0.0
91,Boiled rice,,828,837,1859,1969,0.0,25.0
92,Stewed oyster plant,,28,28,1884,1901,0.1,0.4
93,"Boiled onions, cream sauce",,46,48,1893,1940,0.05,0.45
94,Old fashioned rice pudding,,16,22,1899,1945,0.15,0.3
95,Ice cream,,1052,1171,1880,1993,0.0,20.0
96,Coffee,,7747,8495,1,2928,0.0,30.0
97,Tea,,4164,4778,1858,2012,0.0,25.0
98,Milk,,1896,2292,1890,2012,0.0,45.0
99,Mush,,18,18,1853,1915,0.05,0.15
100,Rolled Oats,,104,112,1900,1989,0.0,0.35
101,Small Hominy,,20,20,1900,1900,0.0,0.0
102,Broiled Mackerel,,41,44,1856,1957,0.3,2.5
103,Kippered Herring,,231,236,1,1970,0.0,0.85
104,Strawberries with cream,,144,148,1882,1969,0.0,65.0
105,Compote of fruits,,42,42,1899,1966,0.0,1.15
106,Orange marmalade,,457,477,1889,1970,0.0,4.5
107,Baked apples with cream,,142,145,1883,1945,0.1,20.0
108,Bananas,,1195,1213,1,2012,0.0,25.0
109,Bananas with cream,,76,77,1900,1957,0.1,0.5
110,Austern in der Schale,,23,23,1888,1901,0.0,0.0
111,Stewed prunes,,1265,1369,1881,1987,0.0,20.0
112,Fruit,,1918,2005,1854,2928,0.0,40.0
113,Grapes,,887,950,1856,1969,0.0,125.0
114,Honey in comb,,81,81,1892,1938,0.0,0.4
115,Apples,,1215,1238,1851,2012,0.05,25.0
116,Oranges sliced,,7,7,1900,1913,0.15,0.25
117,Stewed tomatoes,,1204,1253,1852,1985,0.0,25.0
118,Large pot of coffee,,5,5,1900,1963,0.0,0.2
119,Cup of coffee (served in small pot),,1,1,1900,1900,0.0,0.0
120,Large pot of Oolong tea,,1,1,1900,1900,0.2,0.2
121,Pot of chocolate,,72,72,1892,1955,0.15,20.0
122,Pitcher of milk,,9,11,1900,1914,0.1,0.15
123,Pot of broma,,16,16,1893,1900,0.2,0.25
124,"Suppe, Schlossherrin Art",,2,2,1900,1900,0.0,0.0
125,"Eggs, boiled [2]",,6,6,1900,1918,0.2,0.25
126,Sliced Bananas and Cream,,163,169,1900,1949,0.05,0.45
127,Baked Apples and Cream,,112,119,1882,1913,0.05,40.0
128,Pettijohn Breakfast Food,,3,3,1900,1900,0.0,0.0
129,Quaker Oats,,84,86,1899,1958,0.2,0.25
130,Hotch potch von Ochsenschwanazen,,1,1,1900,1900,0.0,0.0
131,Sugar Cured Ham,,76,79,1893,1987,0.0,4.15
132,"PINE APPLE FRITTERS, SAUCE MARASCHINO",,3,3,1900,1900,0.0,0.0
133,Planked shad,,58,58,1896,1907,0.3,150.0
134,"Baked bluefish, Duxelle",,2,2,1900,1900,0.6,0.6
135,Consomme aux Quenelle's,,2,2,1900,1900,,
136,Milk rice,,44,48,1900,1970,,
137,Mohren Suppe mit Sago,,3,3,1900,1901,0.0,0.0
138,French rolls,,217,221,1880,1965,0.05,5.0
139,Milk rolls,,49,49,1889,1939,0.01,0.1
140,Corn muffins,,282,293,1881,1987,0.0,0.6
141,Omelette aux fines herbes,,42,42,1900,1978,0.0,0.7
142,Boiled eggs,,538,554,1853,1987,0.0,20.0
143,Bacon and eggs,,472,499,1889,1987,0.0,25.0
144,Fish cakes,,148,156,1894,1953,0.0,15.0
145,Food,,2,2,1900,1900,0.0,0.0
146,Shreaded Wheat,,3,3,1900,1900,0.0,0.0
147,Clam cocktail,,269,287,1900,1968,0.05,25.0
148,Oyster cocktail,,461,498,1896,1987,0.0,30.0
150,Little Neck clams,,995,1073,1882,1989,0.0,50.0
151,Stuffed olives,,465,472,1862,1969,0.0,50.0
152,Lalla Rookh,,116,122,1889,1959,0.0,40.0
153,Malaga grapes,,351,353,1882,1941,0.1,40.0
154,Martineaus,,7,7,1890,1900,0.4,0.4
155,Oatmeal,,533,612,1,1988,0.0,20.0
156,hominy with milk,,33,33,1900,1943,0.0,0.0
157,Baked apples,,263,265,1865,1972,0.05,20.0
158,"PATTIES OF SWEET BREADS, A LA TOULOUSE",,3,3,1900,1900,0.0,0.0
159,"Chicken broth, per cup",,7,7,1900,1915,0.2,0.3
160,"Terrapin, Maryland",,100,112,1887,1917,0.65,350.0
161,Sardines on toast,,62,62,1881,1964,0.0,0.5
162,English snipe,,94,94,1882,1907,0.45,60.0
163,Charlotte Russe,,822,898,1851,1973,0.0,30.0
164,Tutti frutti,,124,137,1883,1969,0.2,25.0
165,Lady fingers,,341,348,1858,1949,0.05,15.0
166,Marrow bones on toast,,13,13,1887,1910,0.0,0.0
167,Fresh mushrooms on toast,,58,59,1891,1952,0.4,50.0
168,Farm Sausage,,6,6,1900,1955,0.0,0.0
169,Club sandwich,,640,658,1896,2928,0.0,40.0
170,Baked Stuffed Mullet & Sauce Pomard,,2,2,1900,1900,,
171,Thon marine,,43,43,1896,1957,0.25,0.5
172,Croquettes of sweetbreads,,7,7,1885,1900,1.0,1.0
173,Teal duck,,125,127,1889,1908,0.6,125.0
174,Demi-tasse,,850,877,1892,1979,0.0,15.0
175,Strawberry,,97,102,1865,1973,0.0,4.25
176,Oyster Bay asparagus,,271,279,1895,1941,0.15,75.0
177,"SMALL TENDERLOIN STEAK, A LA STANLEY",,3,3,1900,1900,0.0,0.0
178,Hoot Mon Mush,,5,5,1901,1901,0.0,0.0
179,Apollinoris,,4,4,1900,1900,0.62,0.62
180,Vve Cliquot,,4,4,1900,1900,7.0,7.0
181,Chicken broth,,401,412,1881,1971,0.0,50.0
182,Fruits in Season,,135,136,1889,1987,0.0,3.95
183,"Salt Codfish, Spanish Style",,3,3,1901,1901,0.0,0.0
184,Oatmeal Porridge,,163,163,1853,1962,0.15,0.15
185,Mashed Hominy,,5,5,1900,1900,0.0,0.0
186,Plain Omelette,,322,355,1881,1987,0.0,15.0
187,"Canape, Martha",,10,10,1900,1915,0.4,0.65
190,Puree of beans,,6,6,1900,1918,0.1,0.1
191,Fried Flounders,,10,10,1900,1901,0.15,15.0
192,Strawberry short cake,,277,281,1882,1987,0.0,125.0
193,Fried smelts,,148,148,1858,1960,0.0,2.5
194,Fried fish,,110,110,1856,1971,0.0,1.75
195,Oxford Sausage,,6,6,1900,1900,1.2,1.2
196,BUZZARD BAY OYSTERS,,62,62,1898,1907,0.2,0.6
197,Strained gumbo,,34,35,1895,1969,0.25,30.0
198,Bouillon in cup,,5,5,1890,1900,0.1,0.15
199,Queen olives,,686,703,1865,1965,0.0,15.0
200,Chow chow,,676,687,1865,1965,0.0,20.0
201,"Panfish, Meuniere",,1,1,1900,1900,0.0,0.0
202,German fried potatoes,,136,142,1898,1969,0.05,0.5
203,Ribs of prime beef,,140,142,1891,1921,0.25,50.0
204,"Calf's tongue, caper sauce",,2,2,1900,1900,0.0,0.0
208,Luncheon,,19,18,1900,1993,0.65,0.65
211,Assorted cakes,,1322,1346,1880,2012,0.0,30.0
212,"Scollops en caisse, Supreme",,2,2,1900,1900,0.4,0.4
213,Irish stew,,160,190,1864,1955,0.0,0.5
214,"Marrow on toast, Bordelaise",,5,5,1900,1900,0.0,0.0
215,Lobster salad,,1511,1566,1858,1995,0.0,100.0
216,Potato salad,,1306,1337,1881,1987,0.0,25.0
217,Chicken salad,,1807,1877,1858,1987,0.0,100.0
218,Spinach with egg,,211,217,1896,1965,0.1,20.0
219,Boiled potatoes,,2063,2118,1858,1974,0.0,20.0
220,Baba au rhum,,103,108,1882,1985,0.0,25.0
221,Hot buns,,10,10,1900,1901,0.1,0.1
222,Tongue,,692,733,1851,1965,0.0,95.0
223,Lemon ice cream,,133,133,1852,1981,0.0,25.0
224,Pickled lambs' tongues,,54,54,1895,1962,0.3,0.5
225,Blackberry tarts,,4,4,1881,1900,0.15,0.15
226,Apricots,,241,251,1883,2012,0.0,0.75
227,Red currant jam,,5,5,1900,1921,0.15,0.15
228,Chipped beef,,55,55,1892,1953,0.0,40.0
229,Turkey,,434,445,1851,1987,0.0,80.0
230,Crackers,,967,987,1854,1987,0.0,10.0
231,Chocolate,,1490,1569,1858,1987,0.0,30.0
232,Roast beef,,1217,1326,1851,1987,0.0,75.0
233,Corned beef,,818,876,1862,1985,0.0,50.0
234,Boned capon,,136,136,1892,1917,0.4,60.0
235,Lamb,,427,437,1865,1949,0.0,60.0
236,Cumberland ham,,66,66,1896,1938,0.0,0.0
237,Chicken,,680,820,1866,1985,0.0,125.0
238,Fried Eggs,,550,565,1856,1987,0.0,20.0
239,Broiled Ham,,622,635,1,1970,0.0,25.0
240,Roast veal,,69,73,1856,1957,0.0,20.0
241,Rolls,,434,497,1881,1989,0.0,2.5
242,Griddle cakes,,128,138,1858,1987,0.0,3.85
244,Porterhouse Steak,,260,266,1884,1962,0.0,5.0
245,Pommes de Terre a la Creme,,4,4,1900,1906,0.3,0.3
246,Tenderloin Steak,,588,610,1858,1980,0.15,80.0
247,Sirloin Steak,,913,930,1,1987,0.0,235.0
248,"Filet mignon, Lyonnaise",,2,2,1900,1900,0.0,0.0
249,All Kinds of Pies per cut,,2,2,1900,1900,0.05,0.05
251,Sandwiches of all Kinds,,2,2,1900,1900,0.0,0.0
252,Small Steak,,384,390,1892,1957,0.0,75.0
253,Hamburger Steak,,319,360,1893,1987,0.0,20.0
254,Veal Chops or Cutlets,,3,3,1900,1900,0.3,0.5
256,Pork Chops,,408,433,1853,1988,0.0,40.0
257,Ham & Eggs,,24,24,1881,1964,0.0,4.95
258,Bacon & Eggs,,26,26,1900,1957,0.0,4.75
259,Fried Liver,,29,31,1856,1961,0.0,10.0
260,German Pancake,,206,212,1889,1969,0.15,3.95
262,Oysters & Clams,,1,1,1900,1900,0.0,0.0
265,Stewed,,48,54,1,1918,0.1,15.0
266,Box Stew,,90,95,1892,1939,0.2,40.0
270,Hominy,,422,512,1,1969,0.1,0.35
271,Omelette a l'Oseille,,5,5,1901,1901,0.0,0.0
272,Eggs au Beurre Noir,,45,46,1896,1941,0.19,30.0
274,Smelts - Remoulade,,1,1,1901,1901,0.0,0.0
275,Sirloin Steak with Mushrooms,,231,233,1884,1939,0.0,75.0
276,Grilled Ham,,51,53,1892,1989,0.0,5.5
277,Calves Liver & Bacon,,18,18,1900,1958,0.4,2.75
278,Lamb Hash - en Bordure,,1,1,1901,1901,0.0,0.0
279,Mutton Chops - Mashed Potatoes,,1,1,1901,1901,0.0,0.0
280,Corn Cakes,,146,148,1,1953,0.02,0.55
281,Marmalade,,718,751,1888,1973,0.0,25.0
282,Jam,,248,267,1892,1981,0.0,1.25
283,Cocoa,,1637,1705,1865,1987,0.0,25.0
284,Oat Meal,,68,81,1880,1957,0.1,0.4
286,Scrambled Eggs,,571,586,1853,1987,0.0,28.0
287,Poached Eggs on Toast,,348,352,1892,1968,0.0,20.0
288,Broiled Fresh Mackerel,,120,132,1887,1962,0.0,2.5
290,Chicken Liver with Bacon,,2,2,1901,1901,0.0,0.0
291,Minced Veal a la Zingari,,4,4,1900,1901,0.0,0.0
293,Lyonnaise Potatoes,,728,746,1,1989,0.0,30.0
298,Baked Weakfish,,3,3,1900,1901,0.15,0.15
300,Half and Half Scallops & Oysters,,1,1,1900,1900,0.0,0.0
305,Pork Chops Piquante Sauce,,2,2,1901,1901,0.0,0.0
310,Broiled Kidney with Bacon,,2,2,1901,1901,0.0,0.0
315,Dry Toast,,719,743,1856,1981,0.0,10.0
316,Bunns,,5,5,1900,1901,0.0,0.0
317,Graham Muffins,,60,60,1897,1940,0.1,0.2
320,Hot Cakes,,32,32,1900,1969,0.0,0.5
321,Tea and Coffee,,40,40,1900,1937,0.1,0.1
322,"Ponche de huevo, sambayon, frolada, con pan",,4,4,1900,1900,0.25,0.25
323,Smelts Meuniere,,2,2,1900,1901,0.0,0.0
324,Findon Haddock,,31,31,1899,1905,0.0,0.0
326,Paysanne,,4,4,1900,1914,0.25,0.4
327,Boiled Whiting and Parsley Sauce,,1,1,1900,1900,0.0,0.0
328,Haricot Mutton,,11,11,1900,1910,0.0,0.0
329,Sausages and Mashed Potatoes,,2,2,1900,1915,0.25,0.25
331,Veal and Ham Pie,,50,50,1900,1971,0.0,1.0
332,Roast Lamb,,201,204,1851,1957,0.0,80.0
333,Fried Flounder,,28,29,1899,1937,0.0,0.0
334,Grillirte Kuken,,16,16,1899,1901,0.0,0.0
335,Fillet Steaks aux Champignon,,1,1,1901,1901,0.0,0.0
336,oatmeal with cream,,104,104,1897,1952,0.1,25.0
337,broiled shad,,119,125,1881,1940,0.25,60.0
338,Milk stew,,47,51,1894,1947,0.2,40.0
339,Boston Stew,,77,84,1900,1939,0.2,0.6
340,Raw on the Half Shell,,1,1,0,0,0.0,0.0
343,Beef Steak,,58,58,1865,1944,0.0,1.0
344,Saratoga Chips,,415,445,1881,1969,0.05,0.3
346,Grilled Mutton Chops,,35,35,1892,1910,,
347,Dried Hash,,23,23,1900,1901,0.0,0.0
348,Smelts,,93,95,1,1998,0.15,50.0
349,Tartare Sauce,,16,16,1900,1963,0.0,0.15
350,Sausage,,55,57,1894,1987,0.0,25.0
351,Porto-Rico,,1,1,1901,1901,0.0,0.0
352,Buckwheat Cakes,,346,350,1,1962,0.0,20.0
353,Sliced Pineapples,,3,3,1896,1918,0.25,0.25
354,Soles Normandy,,1,1,1901,1901,0.0,0.0
355,Broiled Salt Mackerel,,131,136,1859,1949,0.0,0.8
356,Shad roe and bacon,,64,66,1899,1963,0.2,3.5
357,Tripe Fricassee,,6,6,1900,1900,0.0,0.0
358,Minced scallops on toast,,5,5,1900,1900,0.0,0.0
359,Steak Pie,,4,4,1901,1917,0.15,0.2
360,Mutton,,282,328,1865,1917,0.15,60.0
364,Boston Box Stew,,7,7,1900,1919,0.3,0.4
365,Fry,,30,36,1900,1919,0.15,50.0
366,Fry with Bacon,,11,11,1900,1919,0.35,0.6
367,Oyster Omelette,,71,85,1892,1946,0.2,25.0
368,Stewed Tripe,,37,38,1856,1943,0.1,10.0
369,Pork Sausage,,27,27,1900,1958,0.25,0.35
370,Corned Beef Hash,,615,674,1,1959,0.1,25.0
371,"Broiled Mackerel, Butter Sauce",,2,2,1901,1901,0.0,0.0
372,Mock Turtle,,141,143,1865,1966,0.0,40.0
373,Consomme Benoiton,,1,1,1900,1900,0.0,0.0
375,Puree of Tomatoes,,103,104,1866,1939,0.1,0.4
376,Filet Steaks aux Champignon,,1,1,1901,1901,0.0,0.0
377,Consomme Plain,,30,30,1887,1937,0.15,25.0
378,"Minced Chicken, Creamed Rice",,1,1,1901,1901,0.0,0.0
379,Schmorbraten a la bourgeoise,,2,2,1900,1900,0.0,0.0
380,Kartoffelmus,,47,47,1899,1910,0.0,0.0
381,"Tripe, Spanish Style",,3,3,1901,1901,0.0,0.0
382,Consomme San Remo,,4,4,1900,1962,0.2,0.2
383,Gebackene Kartoffeln,,154,157,1900,1969,0.75,0.75
384,Calves’ Liver & Bacon,,1,1,1901,1901,0.0,0.0
385,Eggs to order,,262,263,1891,1973,,
386,Consomme Maceo,,1,1,1900,1900,0.2,0.2
387,Puree Mongol,,5,5,1900,1913,0.2,0.35
388,Broiled Rashers of Ham and Bacon,,7,7,1901,1901,0.0,0.0
389,Consomme Printanier,,47,52,1891,1959,0.0,0.4
391,Chicken Mulligatawny,,38,41,1897,2001,0.2,0.4
392,Split Rolls,,21,21,1900,1901,0.0,0.0
393,Blue Point Stew,,3,3,1900,1917,0.35,0.35
394,French bread,,291,293,1882,1970,0.05,0.15
395,Corn bread,,270,272,1853,1941,0.0,10.0
396,Crumb Fry,,8,10,1900,1919,0.3,0.45
397,English Beef,,12,12,1900,1913,0.1,0.4
398,Beef Stew,,83,93,1899,1980,0.0,15.0
399,Tomato Soup,,317,352,1852,1974,0.0,10.0
400,Blue Point Fry,,2,2,1901,1917,0.35,0.4
401,Filet of sole a la Horly,,4,4,1900,1913,0.6,0.8
402,Diamond back terrapin,,6,6,1897,1905,2.0,2.0
403,Fried Plaice - Meuniere,,1,1,1901,1901,0.0,0.0
405,Sausage & Mashed Potatoes,,3,3,1900,1901,0.0,0.0
406,"Fried Jew Fish, Sauce Tartare",,1,1,1901,1901,0.0,0.0
407,Fruit in Season,,194,203,1890,1987,0.0,20.0
408,GREEN PEAS,,1337,1374,1858,1985,0.0,75.0
409,Fried country sausage and buckwheat cakes,,3,3,1900,1900,0.0,0.0
410,Stewed california prunes,,8,8,1900,1948,0.15,0.3
411,Ham omelette,,146,152,1891,1985,0.0,15.0
412,Fried hominy,,189,189,1881,1967,0.1,0.25
413,Broiled bluefish,,218,226,1880,1963,0.2,60.0
414,"Egg, to order",,2,2,1900,1900,0.0,0.0
415,Diamond stew,,23,23,1900,1901,0.0,0.0
417,Boiled or Broiled Salt Mackerel,,13,13,1900,1917,0.25,40.0
418,Whitefish,,44,45,1900,1917,0.3,0.75
419,"Shad, Maitre d'Hotel",,7,7,1900,1901,0.5,0.5
420,Codfish in Cream,,89,90,1,1941,0.0,0.6
421,Fried Scollops,,36,36,1865,1917,0.25,0.85
422,Breakfast Bacon,,188,191,1891,1969,0.15,0.75
423,Calf's Liver and Bacon,,362,374,1,1967,0.0,40.0
424,Pork Spare Ribs,,5,5,1900,1900,0.0,0.0
425,English Mutton Chops,,82,82,1889,1958,0.25,50.0
426,Broiled Spring Chicken,,226,231,1859,1958,0.1,100.0
427,Sirloin or Tenderloin Steak,,3,3,1900,1901,,
429,"Corned Beef Hash, Browned",,60,62,1898,1940,0.15,30.0
430,"Veal Cutlets, Breaded, Tomato Sauce",,31,31,1882,1913,0.2,1.0
431,"Stewed Honeycomb Tripe, Lyonnaise",,3,3,1900,1900,0.0,0.0
432,"Frizzled Beef, in Cream",,6,6,1900,1901,0.3,0.4
433,Eggs as Ordered,,82,83,1898,1949,,
437,Fried Indian Mush or Hominy,,1,1,1900,1900,0.0,0.0
439,French Fried,,63,65,1893,1973,0.0,30.0
440,Lyonnaise,,104,106,1894,1967,0.0,35.0
441,Stewed in Cream,,26,27,1900,2928,0.15,40.0
442,Saute,,29,30,1900,1961,0.15,15.0
443,"Rye, Graham or Boston Brown Bread",,1,1,1900,1900,0.0,0.0
444,Shredded Wheat Biscuits,,33,33,1899,1921,0.0,0.3
445,Vienna Rolls,,143,144,1891,1954,0.03,0.15
446,Papovers,,3,3,1900,1900,0.0,0.0
447,"wheat or Buckwheat Cakes, with Maple Syrup",,1,1,1900,1900,0.0,0.0
448,Corn Meal Mush,,29,29,1892,1918,0.1,0.1
449,Boiled,,52,53,1851,1967,0.0,25.0
450,Scotch grouse en casserole,,3,3,1900,1900,0.0,0.0
451,Soup á l'écossaise,,3,3,1900,1900,0.0,0.0
453,Broiled Blue Fish,,44,49,1865,1957,0.2,3.75
455,Chicken Liver on Toast with Bacon,,3,3,1901,1901,0.0,0.0
458,"PUNCH, REPUBLICAN",,3,3,1900,1900,0.0,0.0
459,Puff over,,1,1,1900,1900,0.1,0.1
460,Passion Fruit,,10,10,1901,1901,0.0,0.0
461,Kippered Herrings,,124,124,1899,1955,0.0,0.5
462,Curried Pork and Rice,,17,17,1900,1901,0.0,0.0
463,Stewed Tripe with Cream sauce,,1,1,1901,1901,0.0,0.0
466,"Eggs, boiled",,167,171,1880,1970,0.1,20.0
467,Fillets of Beef with Mushrooms,,1,1,1901,1901,0.0,0.0
468,Consomme Macaroni,,22,22,1892,1907,0.2,0.25
470,Hard Boiled Egg,,11,11,1900,1948,0.05,0.75
471,Cream Cheese,,972,1057,1887,1980,0.0,25.0
472,Broiled Mackerel - Maitre d'Hotel,,2,2,1901,1901,0.0,0.0
473,Sirloin Steak -- Fried Onions,,1,1,1901,1901,0.0,0.0
474,Devilled Chicken,,3,3,1900,1901,0.0,0.0
475,Lamb Hash en Bordure,,3,3,1901,1901,0.0,0.0
478,Shirred Eggs,,342,347,1858,1969,0.0,19.0
479,Broiled Salmon Trout,,9,9,1891,1957,2.0,2.0
482,Grilled Mutton Kidneys & Bacon,,1,1,1901,1901,0.0,0.0
486,Apfel,,85,85,1899,1972,0.0,0.0
487,Maisgries,,65,65,1899,1910,0.0,0.0
488,Snowflakes,,19,19,1900,1901,0.0,0.0
489,Gebratene Seezunge,,28,28,1899,1910,0.0,0.0
490,"Fried Halibut, Sauce Tartare",,3,3,1893,1901,0.4,0.4
491,Yarmouth Bloaters,,85,85,1892,1958,0.2,0.75
493,Fillet Steads with Mushrooms,,1,1,1901,1901,0.0,0.0
495,"Curried Prawns and Rice, Bombay Duck",,2,2,1901,1901,0.0,0.0
496,"Lamb Chops, Broiled Plain",,2,2,1901,1901,0.0,0.0
497,Whiting - Meuniere,,3,3,1901,1901,0.0,0.0
498,Broiled Rashers of Bacon with Fried Bananas,,2,2,1901,1901,0.0,0.0
499,Sirloin Steak - Fried Onions,,3,3,1901,1901,0.0,0.0
500,Lambs' Liver Saute,,3,3,1901,1901,0.0,0.0
501,Tripe Fritters,,5,5,1901,1910,0.0,0.0
502,Jambon Grille,,9,9,1900,1937,0.0,0.5
503,Mutton Chops - Saute Potatoes,,2,2,1901,1901,0.0,0.0
504,Calfs Liver + Bacon,,1,1,1901,1901,0.0,0.0
505,Cold Smoked Tongue and Ham,,2,2,1901,1901,0.0,0.0
507,Fried & Boiled Potatoes,,8,8,1899,1901,,
508,Sirloin Steaks aux Cepes,,1,1,1901,1901,0.0,0.0
509,Beefsteaks with Horseradish,,1,1,1901,1901,0.0,0.0
510,Dry and buttered Toast,,13,13,1900,1935,0.0,0.0
511,English Muffins,,130,136,1,1987,0.0,0.3
512,"Salt Cod, Egg Sauce",,21,21,1900,1907,0.0,0.0
513,Rice Cakes,,218,224,1,1949,0.05,20.0
514,Honey in the Comb,,50,50,1900,1917,0.2,0.4
516,Ris de Veau aux Epinards,,4,4,1900,1906,0.0,0.0
518,Quail on Toast,,43,43,1889,1958,0.4,0.6
519,"Broiled Green Bluefish, Drawn Butter",,4,4,1901,1901,0.2,0.2
520,Roast Leg of Mutton & Black Currant,,1,1,1900,1900,0.0,0.0
523,Frizzled Breakfast Bacon (to order),,1,1,1901,1901,0.0,0.0
525,French Fried Potatoes with Dinner Orders,,1,1,1901,1901,0.05,0.05
526,Beefsteak and Onions,,9,9,1900,1905,0.5,0.5
527,Roast (Vancouver) Suckling Pig & Bread Sauce,,2,2,1900,1900,,
529,Saute of Kidney,,2,2,1901,1901,0.0,0.0
530,"Knuckle of Veal, Bacon & Parsely Sauce",,1,1,1900,1900,0.0,0.0
531,"Coffee, Tea or Cocoa",,1,1,1901,1901,0.05,0.05
532,Scrambled Eggs and Bacon,,8,8,1900,1945,0.4,25.0
533,liver and bacon,,140,147,1889,1962,0.1,15.0
